mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-16.873,8.505,-32.311,-0.537,0.124,0.093,4692.0,3427.0,1.0
-59.402,32.168,-119.411,1.969,0.484,0.391,4434.0,3180.0,1.0
37.728,28.725,-16.411,91.947,0.422,0.329,4634.0,3112.0,1.0
-2.424,99.698,-196.555,177.123,1.385,1.761,5203.0,2745.0,1.0
-0.795,102.058,-199.79,186.261,1.493,1.559,4660.0,3194.0,1.0
208.799,1.193,206.515,210.96,0.017,0.012,5057.0,3259.0,1.0
