mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
14.594,1.861,11.074,17.988,0.026,0.019,5002.0,3372.0,1.0
20.424,7.663,6.592,34.834,0.103,0.078,5464.0,2896.0,1.0
5.665,6.576,-6.323,18.586,0.096,0.081,4738.0,3270.0,1.0
0.616,101.324,-198.123,177.127,1.371,1.58,5455.0,3060.0,1.0
-1.994,100.099,-192.178,179.054,1.355,1.658,5464.0,2810.0,1.0
46.882,0.439,46.022,47.676,0.006,0.004,5415.0,2851.0,1.0
