mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.078,0.936,-1.297,1.036,0.466,0.357,4.0,13.0,3.76
-0.438,0.816,-1.427,0.59,0.406,0.311,4.0,17.0,3.29
0.009,1.375,-1.413,1.71,0.685,0.524,4.0,11.0,3.61
0.91,1.126,-0.986,1.971,0.561,0.429,4.0,11.0,3.21
0.381,1.364,-1.697,1.823,0.679,0.52,4.0,11.0,3.5
0.855,0.0,0.855,0.855,0.0,0.0,257.0,411.0,1.02
