mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-0.258,0.872,-1.576,0.875,0.434,0.332,5.0,26.0,2.9
0.228,1.054,-1.559,1.178,0.525,0.402,5.0,23.0,3.09
-0.547,0.993,-1.934,0.647,0.494,0.379,4.0,14.0,4.07
0.346,1.306,-1.66,1.7,0.65,0.498,4.0,11.0,3.83
-0.415,1.529,-1.987,1.848,0.761,0.583,5.0,24.0,3.2
0.855,0.0,0.855,0.855,0.0,0.0,323.0,705.0,1.01
