intern_clock,1,2,3,4,5,6,7,8
2647254.0,-51.0,-47.0,1.0,-28.0,-2059607.5741444868,150122.904020361,74898.21780236255,82875.802912979
2648257.0,-91.0,-49.0,1.0,-16.0,-1715233.5741444868,195719.29191609923,329573.1670517444,324609.7783565519
2649262.0,-61.0,-15.0,1.0,-47.0,-1994054.5741444868,450972.604391513,195466.98772070077,318893.1655519496
2650266.0,-51.0,-10.0,1.0,-48.0,-1821677.5741444868,221576.15812530016,248949.36793179836,285516.802842934
2651270.0,0.0,-10.0,-260.0,-20.0,-2039620.5741444868,413163.9504944891,67981.861967634,428013.7462480017
2652274.0,1.0,-154.0,-222.0,0.0,-1964183.5741444868,233014.5911025956,115484.05732817328,429395.11073012324
2653279.0,1.0,-158.0,-262.0,0.0,-1890259.5741444868,250800.8219555778,309466.2248803252,402632.22584195255
2654282.0,1.0,-174.0,1.0,-65.0,-2062461.5741444868,351008.2971839335,77976.90090466721,267417.2012081732
2655287.0,-128.0,-182.0,0.0,-43.0,-2012742.5741444868,488461.80226124264,213208.99862741082,247603.2168479943
2656291.0,-125.0,-191.0,0.0,-6.0,-1776184.5741444868,406611.12860128516,364769.4262405001,291167.2928916471
