intern_clock,1,2,3,4,5,6,7,8,intercept,angular_coef
19895.0,257.0,351.0,9.0,9.0,4496788.8,17702.825000000186,-175008.875,31264.095,17.94361219434635,-0.0603448275862069
19964.0,258.0,352.0,9.0,9.0,4497579.8,17615.825000000186,-177995.875,31157.095,17.94361219434635,-0.0603448275862069
20056.0,258.0,352.0,9.0,9.0,4498650.8,17586.825000000186,-182407.875,30954.095,17.94361219434635,-0.0603448275862069
20154.0,258.0,352.0,9.0,9.0,4502510.8,17558.825000000186,-185891.875,30802.095,17.94361219434635,-0.0603448275862069
20252.0,258.0,351.0,9.0,9.0,4504165.8,17565.825000000186,-187540.875,30863.095,17.94361219434635,-0.0603448275862069
20350.0,257.0,351.0,9.0,9.0,4503517.8,17597.825000000186,-188730.875,31109.095,17.94361219434635,-0.0603448275862069
20448.0,256.0,351.0,9.0,9.0,4502097.8,17673.825000000186,-189373.875,31156.095,17.94361219434635,-0.0603448275862069
20546.0,257.0,351.0,9.0,9.0,4501155.8,17669.825000000186,-189962.875,31142.095,17.94361219434635,-0.0603448275862069
20644.0,257.0,351.0,9.0,9.0,4496438.8,17543.825000000186,-190451.875,31059.095,17.94361219434635,-0.0603448275862069
20743.0,257.0,351.0,9.0,9.0,4495287.8,17469.825000000186,-190650.875,30996.095,17.94361219434635,-0.0603448275862069
20840.0,257.0,351.0,9.0,8.0,4495025.8,17493.825000000186,-190844.875,31015.095,17.94361219434635,-0.0603448275862069
20938.0,257.0,351.0,9.0,9.0,4496200.8,17585.825000000186,-190958.875,30944.095,17.94361219434635,-0.0603448275862069
21037.0,261.0,354.0,14.0,14.0,4496867.8,17631.825000000186,-191002.875,30895.095,17.94361219434635,-0.0603448275862069
21135.0,261.0,354.0,14.0,14.0,4497032.8,17697.825000000186,-190172.875,30938.095,17.94361219434635,-0.0603448275862069
21232.0,261.0,354.0,14.0,14.0,4497897.8,17820.825000000186,-185082.875,31022.095,17.94361219434635,-0.0603448275862069
21330.0,261.0,354.0,14.0,14.0,4497846.8,17810.825000000186,-182776.875,30986.095,17.94361219434635,-0.0603448275862069
21429.0,261.0,354.0,14.0,14.0,4496589.8,17662.825000000186,-184500.875,30921.095,17.94361219434635,-0.0603448275862069
21527.0,261.0,354.0,14.0,14.0,4495773.8,17649.825000000186,-186374.875,30973.095,17.94361219434635,-0.0603448275862069
21624.0,261.0,354.0,14.0,14.0,4497516.8,17648.825000000186,-187530.875,31143.095,17.94361219434635,-0.0603448275862069
21723.0,261.0,354.0,14.0,14.0,4497701.8,17590.825000000186,-188011.875,31098.095,17.94361219434635,-0.0603448275862069
21821.0,261.0,354.0,14.0,14.0,4496242.8,17522.825000000186,-188336.875,31013.095,17.94361219434635,-0.0603448275862069
21919.0,261.0,354.0,14.0,14.0,4495312.8,17514.825000000186,-188621.875,30872.095,17.94361219434635,-0.0603448275862069
22017.0,260.0,354.0,14.0,14.0,4494960.8,17466.825000000186,-188799.875,30807.095,17.94361219434635,-0.0603448275862069
22115.0,261.0,354.0,14.0,14.0,4494956.8,17423.825000000186,-188880.875,30817.095,17.94361219434635,-0.0603448275862069
22213.0,261.0,354.0,14.0,14.0,4494781.8,17435.825000000186,-188989.875,30926.095,17.94361219434635,-0.0603448275862069
22311.0,261.0,354.0,14.0,14.0,4493674.8,17448.825000000186,-189122.875,30917.095,17.94361219434635,-0.0603448275862069
22409.0,261.0,354.0,14.0,14.0,4491979.8,17333.825000000186,-189193.875,30909.095,17.94361219434635,-0.0603448275862069
22507.0,261.0,354.0,14.0,14.0,4491473.8,17271.825000000186,-189312.875,30980.095,17.94361219434635,-0.0603448275862069
22605.0,261.0,354.0,14.0,14.0,4490975.8,17318.825000000186,-189371.875,30923.095,17.94361219434635,-0.0603448275862069
22704.0,261.0,354.0,14.0,14.0,4491387.8,17231.825000000186,-189527.875,30909.095,17.94361219434635,-0.0603448275862069
22801.0,261.0,354.0,15.0,14.0,4492241.8,17139.825000000186,-189660.875,30930.095,17.94361219434635,-0.0603448275862069
22899.0,261.0,354.0,14.0,14.0,4491965.8,16976.825000000186,-189635.875,30806.095,17.94361219434635,-0.0603448275862069
22998.0,261.0,354.0,14.0,14.0,4492329.8,16969.825000000186,-189618.875,30871.095,17.94361219434635,-0.0603448275862069
23096.0,261.0,354.0,14.0,14.0,4493610.8,16965.825000000186,-189592.875,30850.095,17.94361219434635,-0.0603448275862069
23193.0,261.0,354.0,14.0,14.0,4494151.8,16900.825000000186,-189616.875,30890.095,17.94361219434635,-0.0603448275862069
23291.0,261.0,354.0,14.0,14.0,4493916.8,16874.825000000186,-189656.875,30801.095,17.94361219434635,-0.0603448275862069
23390.0,261.0,354.0,14.0,14.0,4494097.8,16910.825000000186,-189729.875,30733.095,17.94361219434635,-0.0603448275862069
23488.0,261.0,354.0,14.0,14.0,4495543.8,16909.825000000186,-189781.875,30704.095,17.94361219434635,-0.0603448275862069
23585.0,261.0,354.0,14.0,14.0,4496043.8,16896.825000000186,-189739.875,30654.095,17.94361219434635,-0.0603448275862069
23684.0,261.0,354.0,14.0,14.0,4496017.8,16868.825000000186,-189774.875,30594.095,17.94361219434635,-0.0603448275862069
23782.0,261.0,354.0,14.0,14.0,4496011.8,16820.825000000186,-189819.875,30589.095,17.94361219434635,-0.0603448275862069
23880.0,261.0,354.0,14.0,14.0,4495812.8,16878.825000000186,-189895.875,30723.095,17.94361219434635,-0.0603448275862069
23977.0,260.0,354.0,14.0,14.0,4496250.8,16886.825000000186,-190013.875,30778.095,17.94361219434635,-0.0603448275862069
24076.0,261.0,354.0,14.0,14.0,4495840.8,16887.825000000186,-190054.875,30713.095,17.94361219434635,-0.0603448275862069
