intern_clock,1,2,3,4,x,y
31032,0.0,0.0,0.0,0.0,39.80506684068552,-17.093602806729347
31130,0.0,0.0,0.0,0.0,31.60300332173446,-15.42153952997943
31227,0.0,0.0,0.0,0.0,33.88852023888318,-19.00898467558485
31326,0.0,0.0,0.0,0.0,35.133377086530345,-20.662501857449264
31424,0.0,0.0,0.0,0.0,26.759042676784947,-16.759596324697597
31521,0.0,0.0,0.0,0.0,25.643043415654326,-15.319156538481542
31620,0.0,1.0,0.0,0.0,27.936269690466997,-18.13926570640671
31718,0.0,0.0,0.0,0.0,31.035741601668974,-17.479944950214527
31816,0.0,0.0,0.0,0.0,28.54098711885465,-17.043832466753624
31913,0.0,0.0,0.0,0.0,16.07462773293712,-20.90808696476788
32012,0.0,0.0,0.0,0.0,2.814983873093223,-27.505102137053
32110,0.0,1.0,0.0,0.0,4.3734682433366725,-32.076082992945814
32208,0.0,0.0,0.0,0.0,-6.652739956953948,-29.554922326826674
32306,0.0,0.0,0.0,0.0,-21.43798726953337,-22.451104336298556
32404,0.0,0.0,0.0,0.0,-24.097341065615105,-19.66254091545602
32502,0.0,0.0,0.0,0.0,-30.912111555081964,-18.07696911852984
32600,0.0,0.0,0.0,0.0,-37.88982369556704,-12.479487036187415
32698,0.0,0.0,0.0,0.0,-30.662193723032367,-13.092916738879664
32796,0.0,0.0,0.0,0.0,-27.48921746396964,-11.664671097120355
32894,0.0,0.0,0.0,0.0,-40.6748072869876,-7.892545790991332
32992,0.0,0.0,0.0,0.0,-63.11037791746159,-1.3564134437787383
33090,1.0,0.0,0.0,0.0,-83.01459518722079,-3.3496965205534703
33188,0.0,0.0,0.0,0.0,-78.55942881144156,-2.8516424037735137
33286,0.0,1.0,0.0,0.0,-101.98514624800684,2.263647825567466
33384,0.0,0.0,0.0,0.0,-130.58738726192917,7.781892258940048
33482,0.0,0.0,0.0,0.0,-111.51838551554337,1.5045810177900178
33581,0.0,0.0,0.0,0.0,-88.58354948126508,0.026449022344773074
33678,0.0,0.0,0.0,0.0,-82.27884540013075,8.171182035804867
33776,0.0,0.0,0.0,0.0,-92.6981079196456,18.83419040729027
33874,0.0,1.0,0.0,0.0,-102.53845468585573,33.24578334719415
33973,0.0,0.0,0.0,0.0,-79.8021993070884,32.43983402489917
34070,0.0,0.0,0.0,0.0,-62.45836360425081,38.5769535366265
34168,0.0,0.0,0.0,0.0,-49.16639548894209,26.33479065492713
34267,0.0,0.0,0.0,0.0,-53.87960033307306,19.37585345545483
34364,0.0,0.0,0.0,0.0,-77.0853172176113,47.1890174777612
34462,0.0,0.0,0.0,0.0,-93.23224854641425,68.50084179468176
34561,0.0,0.0,0.0,0.0,-101.9158731749983,55.81978550667297
34659,0.0,0.0,0.0,0.0,-80.36530645084436,47.584316825593014
34756,1.0,0.0,0.0,0.0,-75.17560451770365,51.33515274949691
34854,0.0,0.0,0.0,0.0,-93.99709130400072,48.55469802888104
34953,0.0,0.0,0.0,0.0,-505.191849740565,253.9058359888089
35050,0.0,0.0,0.0,0.0,880.3378329064496,-549.9249179123099
35148,0.0,0.0,0.0,0.0,409.8008926542387,-319.816778878623
35247,0.0,0.0,0.0,0.0,216.03881684881827,-179.15323332477297
