mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-10.584,6.065,-21.385,1.335,0.082,0.062,5533.0,2995.0,1.0
-39.781,23.401,-84.169,4.102,0.31,0.24,5721.0,3101.0,1.0
24.901,21.418,-17.413,63.516,0.31,0.268,4775.0,2732.0,1.0
0.411,98.118,-185.63,186.037,1.275,1.624,5917.0,2869.0,1.0
0.559,101.751,-192.634,186.229,1.347,1.651,5733.0,2983.0,1.0
152.912,0.984,151.054,154.737,0.012,0.009,6402.0,3271.0,1.0
